Name,label,bool,range_min,range_max,sub,factor,unit,tag,alias,grafana_url
az,ACU Azimuth,0,,,0,1,Deg,Az,acu.acu_udp_stream.Corrected_Azimuth,
4K_filter,4K filter,1,3,5,0,1,Temperature [K],hwp,cryo-ls240-lsa25b7.temperatures.Channel_8_T,https://site.simonsobs.org/grafana/d/ff99a9fa-707f-4fe7-8c06-09c94c0251b8/run-12-dashboard-rtmli-replacement?orgId=1&refresh=1m&viewPanel=5
YBCO,YBCO,1,40,55,0,1,Temperature [K],hwp,cryo-ls240-lsa2k4g.temperatures.Channel_1_T,https://site.simonsobs.org/grafana/d/ff99a9fa-707f-4fe7-8c06-09c94c0251b8/run-12-dashboard-rtmli-replacement?orgId=1&refresh=1m&viewPanel=5
40K_filter,40K filter,1,40,55,0,1,Temperature [K],hwp,cryo-ls240-lsa2k4g.temperatures.Channel_2_T,https://site.simonsobs.org/grafana/d/ff99a9fa-707f-4fe7-8c06-09c94c0251b8/run-12-dashboard-rtmli-replacement?orgId=1&refresh=1m&viewPanel=5
URH_40K_plate,URH 40K plate,1,35,50,0,1,Temperature [K],hwp,cryo-ls240-lsa266v.temperatures.Channel_5_T,https://site.simonsobs.org/grafana/d/ff99a9fa-707f-4fe7-8c06-09c94c0251b8/run-12-dashboard-rtmli-replacement?orgId=1&refresh=1m&viewPanel=5
fp,Focal Plane B (2 o'clock Main Body),1,0.06,0.065,0,1,Temperature [K],mk100,cryo-ls372-lsa2dtc.temperatures.Channel_01_T,https://site.simonsobs.org/grafana/d/db362477-340a-42e2-bc43-8ab8fba9c91a/overview-dashboard?orgId=1&from=now-1h&to=now&refresh=5s&viewPanel=10
dr_mxc,DR MXC Stage,1,0.03,0.05,0,1,Temperature [K],mk100,cryo-ls372-lsa280e.temperatures.Channel_06_T,https://site.simonsobs.org/grafana/d/db362477-340a-42e2-bc43-8ab8fba9c91a/overview-dashboard?orgId=1&from=now-1h&to=now&refresh=5s&viewPanel=10
fpb5,"FPB 5 o'clock main body, next to 2nd heater",1,0.055,0.065,0,1,Temperature [K],mk100,cryo-ls372-lsa280e.temperatures.control_T,https://site.simonsobs.org/grafana/d/db362477-340a-42e2-bc43-8ab8fba9c91a/overview-dashboard?orgId=1&from=now-1h&to=now&refresh=5s&viewPanel=10
100mK-1,100mK-1 (10 o'clock UFM),1,0.055,0.065,0,1,Temperature [K],mk100,cryo-ls372-lsa22ye.temperatures.Channel_01_T,https://site.simonsobs.org/grafana/d/db362477-340a-42e2-bc43-8ab8fba9c91a/overview-dashboard?orgId=1&from=now-1h&to=now&refresh=5s&viewPanel=10
100mK-2,100mK-2 (LS Calibrated 10 o'clock FPB Main Body),1,0.055,0.065,0,1,Temperature [K],mk100,cryo-ls372-lsa22ye.temperatures.Channel_02_T,https://site.simonsobs.org/grafana/d/db362477-340a-42e2-bc43-8ab8fba9c91a/overview-dashboard?orgId=1&from=now-1h&to=now&refresh=5s&viewPanel=10
